Date,High,Low,Open,Close,Marketcap,lag1,lag2,lag7,time
2013-04-29 23:59:59,147.48800659179688,134.0,134.44400024414062,144.5399932861328,1603768864.5,,,,0.0
2013-04-30 23:59:59,146.92999267578125,134.05000305175778,144.0,139.0,1542813125.0,144.5399932861328,,,1.0
2013-05-01 23:59:59,139.88999938964844,107.72000122070312,139.0,116.98999786376952,1298954593.75,139.0,144.5399932861328,,2.0
2013-05-02 23:59:59,125.5999984741211,92.28189849853516,116.37999725341795,105.20999908447266,1168517495.25,116.98999786376952,139.0,,3.0
2013-05-03 23:59:59,108.12799835205078,79.0999984741211,106.25,97.75,1085995168.75,105.20999908447266,116.98999786376952,,4.0
2013-05-04 23:59:59,115.0,92.5,98.0999984741211,112.5,1250316562.5,97.75,105.20999908447266,,5.0
2013-05-05 23:59:59,118.8000030517578,107.14299774169922,112.9000015258789,115.91000366210938,1288693175.5,112.5,97.75,,6.0
2013-05-06 23:59:59,124.66300201416016,106.63999938964844,115.9800033569336,112.3000030517578,1249023060.0,115.91000366210938,112.5,144.5399932861328,7.0
2013-05-07 23:59:59,113.44400024414062,97.6999969482422,112.25,111.5,1240593600.0,112.3000030517578,115.91000366210938,139.0,8.0
2013-05-08 23:59:59,115.77999877929688,109.5999984741211,109.5999984741211,113.56600189208984,1264049202.15,111.5,112.3000030517578,116.98999786376952,9.0
2013-05-09 23:59:59,113.45999908447266,109.26000213623048,113.1999969482422,112.66999816894531,1254535382.0,113.56600189208984,111.5,105.20999908447266,10.0
2013-05-10 23:59:59,122.0,111.5510025024414,112.79900360107422,117.1999969482422,1305479080.0,112.66999816894531,113.56600189208984,97.75,11.0
2013-05-11 23:59:59,118.6790008544922,113.01000213623048,117.6999969482422,115.24299621582031,1284207489.42,117.1999969482422,112.66999816894531,112.5,12.0
2013-05-12 23:59:59,117.4489974975586,113.43499755859376,115.63999938964844,115.0,1281982625.0,115.24299621582031,117.1999969482422,115.91000366210938,13.0
2013-05-13 23:59:59,118.6989974975586,114.5,114.81999969482422,117.9800033569336,1315710010.5,115.0,115.24299621582031,112.3000030517578,14.0
2013-05-14 23:59:59,119.8000030517578,110.25,117.9800033569336,111.5,1243874487.5,117.9800033569336,115.0,111.5,15.0
2013-05-15 23:59:59,115.80999755859376,103.5,111.4000015258789,114.22000122070312,1274623812.5,111.5,117.9800033569336,113.56600189208984,16.0
2013-05-16 23:59:59,118.76000213623048,112.1999969482422,114.22000122070312,118.76000213623048,1325726787.0,114.22000122070312,111.5,112.66999816894531,17.0
2013-05-17 23:59:59,125.3000030517578,116.5709991455078,118.20999908447266,123.01499938964844,1373723881.88,118.76000213623048,114.22000122070312,117.1999969482422,18.0
2013-05-18 23:59:59,125.25,122.3000030517578,123.5,123.4980010986328,1379574545.85,123.01499938964844,118.76000213623048,115.24299621582031,19.0
2013-05-19 23:59:59,124.5,119.5709991455078,123.21099853515624,121.98999786376952,1363204702.75,123.4980010986328,123.01499938964844,115.0,20.0
2013-05-20 23:59:59,123.62100219726562,120.12000274658205,122.5,122.0,1363709900.0,121.98999786376952,123.4980010986328,117.9800033569336,21.0
2013-05-21 23:59:59,123.0,121.20999908447266,122.0199966430664,122.87999725341795,1374013440.0,122.0,121.98999786376952,111.5,22.0
2013-05-22 23:59:59,124.0009994506836,122.0,122.88999938964844,123.88899993896484,1385778992.85,122.87999725341795,122.0,114.22000122070312,23.0
2013-05-23 23:59:59,126.93399810791016,123.0999984741211,123.8000030517578,126.6999969482422,1417769832.5,123.88899993896484,122.87999725341795,118.76000213623048,24.0
2013-05-24 23:59:59,133.85000610351562,125.71900177001952,126.3000030517578,133.19999694824222,1491070770.0,126.6999969482422,123.88899993896484,123.01499938964844,25.0
2013-05-25 23:59:59,133.218994140625,128.89999389648438,133.10000610351562,131.97999572753906,1477958233.0,133.19999694824222,126.6999969482422,123.4980010986328,26.0
2013-05-26 23:59:59,136.0,130.61500549316406,131.98599243164062,133.47999572753906,1495293015.0,131.97999572753906,133.19999694824222,121.98999786376952,27.0
2013-05-27 23:59:59,135.46499633789062,124.6999969482422,133.5,129.7449951171875,1454029509.62,133.47999572753906,131.97999572753906,122.0,28.0
2013-05-28 23:59:59,130.58000183105472,125.5999984741211,129.77000427246094,129.0,1446189975.0,129.7449951171875,133.47999572753906,122.87999725341795,29.0
2013-05-29 23:59:59,132.58999633789062,127.66200256347656,129.0,132.30000305175778,1483734577.5,129.0,129.7449951171875,123.88899993896484,30.0
2013-05-30 23:59:59,132.25,127.0,132.25,128.79899597167972,1445053940.55,132.30000305175778,129.0,126.6999969482422,31.0
2013-05-31 23:59:59,129.89999389648438,126.4000015258789,128.79899597167972,129.0,1447870200.0,128.79899597167972,132.30000305175778,133.19999694824222,32.0
2013-06-01 23:59:59,129.77999877929688,127.1989974975586,128.81500244140622,129.30000305175778,1451916165.0,129.0,128.79899597167972,131.97999572753906,33.0
2013-06-02 23:59:59,129.39999389648438,115.0500030517578,129.30000305175778,122.29199981689452,1373837499.9,129.30000305175778,129.0,133.47999572753906,34.0
2013-06-03 23:59:59,122.5,116.0,122.5,122.22200012207031,1373708057.9,122.29199981689452,129.30000305175778,129.7449951171875,35.0
