,tweet_id,date,text,retweet_count,favourite_count,followers_count,crypto_name
0,1.428585353670275e+18,2021-08-20 05:11:04,"#ADA going into the #Cardano price discovery zone is a bit like Kirk asking McCoy at the end of the movie ""Where shall we go Bones?"" https://t.co/by2wL1fILi",0,3.0,5563.0,DOG
1,1.4285853093363917e+18,2021-08-20 05:10:54,#Cardano #Ada To the Moon 🚀🚀🚀 https://t.co/w5avpfpbPO,0,1.0,122.0,DOG
2,1.4285852960740024e+18,2021-08-20 05:10:51,Time lapse of #CardanoCommunity #CardanoADA #ADA #ATH https://t.co/aDM7mJh3E2,0,0.0,15.0,DOG
3,1.4285852495758828e+18,2021-08-20 05:10:39,"ADA ALL TIME HIGH BABY!!!!! LFG!!!!!!! #BITCOIN #BTC #DGICrypto #DailyGainsInvesting  #ADA #VET #Ethereum #HowToBuyCrypto https://t.co/aVxC9bOwOD @ Las Vegas, Nevada https://t.co/sURtWJatyL",0,1.0,666.0,DOG
4,1.4285852425170248e+18,2021-08-20 05:10:38,ATH for #Cardano and feels like undervalued… #ADA,1,1.0,80.0,DOG
5,1.4285852054392832e+18,2021-08-20 05:10:29,@kamehameclubb We will make #ADA strong again! 😎😎😎,0,0.0,15.0,DOG
6,1.4285852014128415e+18,2021-08-20 05:10:28,#ADA just hit new ATH. And its not anywhere close to where it belongs. #cardano,1,1.0,4.0,DOG
7,1.4285851933805363e+18,2021-08-20 05:10:26,@Cardano best way to receive 12% #ADA on every transaction is to buy and hold @miniadaofficial better than #btc #SAFEMOON #Ethereum #Eternals #BabyDoge #dogecoin #cryptocurrency https://t.co/7D4MDROPCd,0,0.0,82.0,DOG
8,1.4285851162724475e+18,2021-08-20 05:10:08,"Do yourself a favour &amp; buy $RFOX ..
This thing is going to be worth ALOT. #btc #eth #shib #doge #xrp #ada #Cryptocurency #Crypto #HBAR #Binance #HODL #ALTSEASON",0,0.0,36.0,DOG
9,1.4285851047759135e+18,2021-08-20 05:10:05,Looking at #ADA like.. :) https://t.co/FZLt2QEfLI,0,0.0,308.0,DOG
10,1.4285850824790671e+18,2021-08-20 05:10:00,Let’s go #ADA #Cardano make daddy proud!,0,0.0,105.0,DOG
11,1.4285850542136074e+18,2021-08-20 05:09:53,#ADA HIT ALL TIME HIGH 🔥 where alll my Cardano holders at?,0,0.0,542.0,DOG
12,1.4285849976535245e+18,2021-08-20 05:09:39,GRT__The Graph   |CRYPTO |BUY BUY___   #EOS   #BROKER   #GBP   #CURRENCY   #FOREX   #BANK   #ADA   #BUY   #GBP   #EOS      10,0,0.0,3.0,DOG
13,1.4285849924944077e+18,2021-08-20 05:09:38,"Holding $ADA will make you rich 

#cardano #ada",0,2.0,2971.0,DOG
14,1.4285849270044877e+18,2021-08-20 05:09:23,Looks like #ADA is gonna break its ATH today,0,0.0,11.0,DOG
15,1.4285848395784888e+18,2021-08-20 05:09:02,"Got a feeling a few people will be waking up very VERY happy this morning 🙌🥳🚀

#ADA $ADA #CardanoCommunity #Cardano #CardanoADA",0,5.0,500.0,DOG
16,1.4285848375443988e+18,2021-08-20 05:09:01,"#IOTA NEEDS MORE EXCHANGES! NOW, NO DELAYS, NO EXCUSES! #ADA HAS &gt;40, IOTA &lt;10. LET THAT SINK IN! @iota",0,1.0,212.0,DOG
17,1.4285848285851853e+18,2021-08-20 05:08:59,"@Biswap_Dex Perfect Time To Gain #BSW Tokens this Is Very Strong Token
#BSW #Biswap
#DEX #DeFi #ADA 
@cryptoloote

0xB567a4187f5db78670012983Fd2c716040B03334",0,0.0,19.0,DOG
18,1.428584756065669e+18,2021-08-20 05:08:42,#cardano going to another stratosphere 🙏☄☄☄ #ADA #ADAGANG,0,0.0,2.0,DOG
19,1.4285847499755643e+18,2021-08-20 05:08:40,"#TMC 2T + 

#Ada ne 3rd position bna li aur 

#Dot #Dot #Dot ne 8th position bna li. 

I am expecting #Dot in Top 5 let's see. 
#Ltc out from top 10 😬😂😂

@Adri_crypto what's your take now .

My #2020 #Link #Dot #pols 
#2021 #Axs #Dot #ksm #sol 

#Dot 💎  ❣😬 https://t.co/wTw1PhTdNl",0,5.0,16689.0,DOG
20,1.428584728261714e+18,2021-08-20 05:08:35,"#Ada you made it 👏👏👏... 
Soon #xrp follow you... 

#xrp",0,2.0,17.0,DOG
21,1.4285846956341699e+18,2021-08-20 05:08:27,Seeing #ADA reach all time high 😍,0,0.0,762.0,DOG
22,1.4285845235628974e+18,2021-08-20 05:07:46,#Ada to 🚀🚀🚀 but would like a pullback to confirm….12 September could be a interesting time for AxieFlyers 👍 https://t.co/dNDu4PANPs,13,15.0,1775.0,DOG
23,1.4285845031743816e+18,2021-08-20 05:07:42,#ADA $ADA new All time high 2.52 USD. #crypto,0,1.0,152.0,DOG
24,1.4285844950039347e+18,2021-08-20 05:07:40,"DUMP MF CITY 🚨🚨🚨

#Bitcoin is bearish short term

Join us here: https://t.co/DsnZdpbftE

#binance #Ethereum #Solana #tron #AI #CryptoNews #cryptocurrecy #cryptotwitter  #Avalanche #tether #Litecoin #DOT #ADA  #dogecoin",1,1.0,131.0,DOG
25,1.4285844649683886e+18,2021-08-20 05:07:32,Grabe #ADA ATH!,0,0.0,226.0,DOG
26,1.428584393879167e+18,2021-08-20 05:07:15,PRICE. DISCOVERY. MODE. #ADA #Cardano https://t.co/Js3sqVaneG,0,2.0,8.0,DOG
27,1.4285843798827704e+18,2021-08-20 05:07:12,"@cryptorecruitr It's spreading very fast.. 

23 days remaining until we have fully functional #SmartContracts build on #Cardano #ADA

#GetSetGo
#Alonzo #Goguen",0,2.0,377.0,DOG
28,1.428584378012156e+18,2021-08-20 05:07:12,"#Cardano New All Time High

$2.50 $ADA Looks Nice

$10 $ADA Will Look Very Nice

👀🔥👀🔥👀🔥

#ATH #CardanoCommunity #cryptocurrency #blockchain #ADA https://t.co/Zijq3imIPH",0,3.0,294.0,DOG
29,1.42858435163836e+18,2021-08-20 05:07:05,"#ADA to the moon 
Touched ALL time high 💦🚀

CARDANO s total staking valuation exceeds 71.25% of its total valuation.  Supply is limited  potential is huge  . 

🕺🕺💞💞🚀🚀🤟🤟 https://t.co/JEaGLbtCjo https://t.co/49F7E3SoMO",0,0.0,380.0,DOG
30,1.428584277692719e+18,2021-08-20 05:06:48,The Age of #Ada https://t.co/zb8wwEAW8T,0,0.0,56.0,DOG
31,1.4285842770510152e+18,2021-08-20 05:06:48,"@Biswap_Dex Excellent Giveaway!! i like it

0x67ABDc1ef9F4338190bD549A232DA9bAdC7fB766

#BSW #Biswap
#DEX #DeFi #ADA",0,0.0,40.0,DOG
32,1.4285842067839468e+18,2021-08-20 05:06:31,Caught it.. #ADA @ 2.5 here we go! https://t.co/PRTsB3b4lJ,0,1.0,79.0,DOG
33,1.4285841607304847e+18,2021-08-20 05:06:20,@cryptorecruitr #ADA just needs more time and we will see 10$ 😎🤟🤟🤟,0,0.0,15.0,DOG
34,1.428584126555181e+18,2021-08-20 05:06:12,"#ADA breaking out into new all time highs🔥🔥
#BTC #adacoin #CardanoADA #Bitcoin",0,0.0,102.0,DOG
35,1.4285841246300447e+18,2021-08-20 05:06:11,#ADA price discovery https://t.co/UJeaNKlIeO,0,0.0,16.0,DOG
36,1.4285841183847465e+18,2021-08-20 05:06:10,#cardano #ada pumping hard again!,0,0.0,9.0,DOG
37,1.4285841054663434e+18,2021-08-20 05:06:07,"ADA smashing it right now! Jeeez 🚀
#ADA #Cardano https://t.co/MSZeuzOqBn",0,0.0,15435.0,DOG
38,1.428584092669399e+18,2021-08-20 05:06:04,Historic night as #ADA sets a new ATH. To the moon and beyond! #cardano https://t.co/6ntlLtox4J https://t.co/C5m1g9j1qc,0,0.0,205.0,DOG
39,1.4285840516576502e+18,2021-08-20 05:05:54,Waking up with #ADA @ $2.50 feels great. Imagine how #ADA @ $5 would feel...I think this might be sooner then we imagine. Number 3 Crypto currently 👏 #Cardano #cryptocurrency #number3,0,0.0,79.0,DOG
40,1.4285840029700014e+18,2021-08-20 05:05:42,"#celsius added another absolute winner with #luna a few weeks ago and look at its perfornance, #ada to be added probably this week and its booming too",0,1.0,1537.0,DOG
41,1.4285839909409014e+18,2021-08-20 05:05:39,$ada #cardano #ada o good morning cardano off for a little walk are you?,0,0.0,21.0,DOG
42,1.4285839887724093e+18,2021-08-20 05:05:39,"$ADA

New ATH!!

#ADA #Cardano 

https://t.co/9SrBBagy58",0,1.0,315.0,DOG
43,1.4285839677253468e+18,2021-08-20 05:05:34,"So new #ADA ATH at $2.50 🚀 currently, do we people think we can pierce $10 by the end of 2021? 🌙

What does everyone think, #Cardano fam? $Ada",0,2.0,463.0,DOG
